© 2000-2025 QIAGEN. All rights reserved. USE OF THIS CONTENT IS SUBJECT TO THE TERMS OF YOUR IPA END USER LICENSE AGREEMENT
From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
Ub-p-S124-CDC25A	reaction	Ub	26S proteasome	
hBUBR1:hBUB3:MAD2*:CDC20 complex; phosphorylatedanaphasepromotingcomplex (APC/C)	reaction	MCC:APC/Ccomplex		
p-S124-CDC25A; Ub	reaction	Ub-p-S124-CDC25A	Ubiquitinligase	
p-S15,S20-TP53Tetramer; ZNF385A	reaction	p-S15,S20-TP53 Tetramer:ZNF385A		
p-S166,S188-MDM2 dimer,p-S166,S188-MDM2,MDM4:TP53; Ub	reaction	p-S166,S188-MDM2 dimer,p-S166,S188-MDM2:MDM4; PolyUb-TP53Tetramer	p-S166,S188-MDM2 dimer,p-S166,S188-MDM2,MDM4:TP53; p14ARF:p-S166,S188-MDM2 dimer,p-S166,S188-MDM2:MDM4	
p-S166,S188-MDM2 dimer,p-S166,S188-MDM2:MDM4; TP53Tetramer	reaction	p-S166,S188-MDM2 dimer,p-S166,S188-MDM2,MDM4:TP53	PHF20	
p-S166,S188-MDM2,MDM4; p-S166,S188-MDM2	reaction	p-S166,S188-MDM2 dimer,p-S166,S188-MDM2:MDM4	p-S1981,Ac-K3016-ATM	
p-S166,S188-MDM2:p-S346,S367,S403-MDM4; Ub	reaction	PolyUb,p-S166,S188-MDM2:PolyUb,p-S342,S367,S403-MDM4	p-S166,S188-MDM2:p-S346,S367,S403-MDM4	
p-S216-CDC25C	translocation	p-S216-CDC25C		
p-S387-RFWD2	translocation	p-S387-RFWD2		
p-S387-RFWD2:p-S15-TP53	reaction	p-S15-TP53Tetramer; p-S387-RFWD2		
p-S387-RFWD2; Ub	reaction	ubiquitinatedphospho-COP1(ser-387)	p-S387-RFWD2	
p-S435-GTSE1:PolyUb-TP53 Tetramer	reaction	p-S435-GTSE1; Ub	26S proteasome	
p-S435-GTSE1:PolyUb-TP53 Tetramer	translocation	p-S435-GTSE1:PolyUb-TP53 Tetramer		
p-S435-GTSE1; PolyUb-TP53Tetramer	reaction	p-S435-GTSE1:PolyUb-TP53 Tetramer		
ubiquitinatedphospho-COP1(ser-387)	reaction	Ub	26S proteasome	
