"x"
"ANLN"
"CD74"
"TOMM34"
"SLAMF7"
"SH2D2A"
"IKZF2"
"TNFRSF9"
"TNIP3"
"BCAT1"
"PKM"
"BCL3"
"TRAF4"
"NFKB2"
"EPB41L2"
"CD82"
"TPX2"
"BIRC5"
"ICAM1"
"CLSPN"
"SMS"
"DGKH"
"SQLE"
"SLC39A14"
"RELB"
"NAMPT"
"EZH2"
"KIF20A"
"SLC1A4"
"DHCR24"
"CDC20"
"KIF14"
"NR4A3"
"NCAPH"
"ADGRE5"
"NR4A1"
"IKZF4"
"HJURP"
"TRIP10"
"PKMYT1"
"MYO1B"
"TOP2A"
"BHLHE40"
"IL2RA"
"ESPL1"
"STX11"
"NIBAN1"
"ITM2C"
"IRF4"
"KIF23"
"KNL1"
"CEP55"
"SUOX"
"DIAPH3"
"WARS1"
"COL6A1"
"COL6A2"
"DTL"
"TIFA"
"NFKBIE"
"CDCA5"
"DOK2"
"MKI67"
"BUB1B"
"CCNB2"
"PTGIR"
"DHRS3"
"VCAM1"
"REL"
"KIF15"
"CGAS"
"WEE1"
"TK1"
"ALCAM"
"CDK1"
"ESCO2"
"RRM2"
"KLC2"
"UBE2C"
"TYMS"
"ZC3H12D"
"AURKB"
"SHMT2"
"KPNA2"
"PYCR1"
"CDCA2"
"KIF18B"
"TNFRSF4"
"TNFRSF18"
"NHS"
"FAM111B"
"SEMA4A"
"INPP5F"
"LAYN"
"UHRF1"
"CCDC124"
"HMGB3"
"RAD51"
"MCM10"
"MTHFD2"
"TRIP13"
"TFRC"
"HMMR"
"MCM2"
"TIPIN"
"FSCN1"
"WDR62"
"UNG"
"SPAG5"
"UBE2T"
"NDC80"
"PLOD1"
"ORC1"
"AURKA"
"TESC"
"KIF4A"
"ORC6"
"WDR76"
"CDC45"
"ACOT7"
"SCD"
"RANBP1"
"LGALS1"
"CENPM"
"GZMB"
"POLE2"
"NFKBIA"
"GINS1"
"POFUT1"
"KIF3B"
"RBBP8"
"FAH"
"MCM4"
"SLC1A5"
"CDK6"
"NCAPG"
"RAD51AP1"
"TIMELESS"
"CDCA3"
"CD83"
"GMNN"
"BYSL"
"TTK"
"SLC29A1"
"LMNB1"
"ECT2"
"IL18R1"
"CENPF"
"HELLS"
"MND1"
"ZWINT"
"CIT"
"CDKN2C"
"CDK2"
"CKS2"
"DLGAP5"
"PAICS"
"SDF2L1"
"IRF5"
"GINS2"
"PDLIM4"
"PSMC3IP"
"PCNA"
"MYH10"
"RFC3"
"CCNB1"
"CAMK1"
"LDHA"
"CDCA8"
"SLC43A3"
"TXN"
"DSCC1"
"DNAJB5"
"RDX"
"CENPO"
"KIF11"
"DNA2"
"FANCI"
"CARM1"
"KIF2C"
"UCK2"
"NUF2"
"HNRNPLL"
"CHAC2"
"CCNA2"
"MTFR2"
"NCAPG2"
"GINS4"
"CHEK1"
"RILPL2"
"CENPU"
"SPC25"
"CENPH"
"SKA1"
"ATAD2"
"CDC25C"
"CHAF1B"
"LMNA"
"RACGAP1"
"COA7"
"CIP2A"
"STARD4"
"SKA3"
"CENPN"
"PCLAF"
"PLK1"
"RRM1"
"GNG8"
"CHAF1A"
"PBK"
"NT5DC2"
"FEN1"
"FASN"
"SHCBP1"
"ATAD5"
"LMNB2"
"DCTPP1"
"GINS3"
"APOD"
"TMEM120A"
"TUBB"
"TFDP1"
"WDHD1"
"VDAC1"
"DHFR"
"KIFC1"
"NME1"
"LAP3"
"LASP1"
"SNX11"
"M6PR"
"POLDIP2"
"FKBP4"
"SLC25A5"
"MSL3"
"ITGAL"
"GGCT"
"IL32"
"NCAPD2"
"PPP5C"
"CEP68"
"UBR7"
"MDH1"
"SLC38A5"
"STRAP"
"NCAPH2"
"RNASET2"
"CENPQ"
"APBA2"
"METTL1"
"PI4K2B"
"SPDL1"
"RCN1"
"RFC2"
"LIMA1"
"MRTO4"
"EIF2AK2"
"ALDH18A1"
"POLD1"
"IPO5"
"YBX1"
"PFKP"
"IDI1"
"RHOA"
"IFI35"
"ACSL4"
"RASGRP2"
"RAB27A"
"PFN2"
"DAPP1"
"RAD18"
"TBX21"
"LMAN1"
"EIF4G3"
"NUP37"
"MCM6"
"MLH1"
"LRCH4"
"POLD3"
"ITM2A"
"KIF22"
"KEAP1"
"CPOX"
"HSP90AA1"
"AACS"
"BZW1"
"GEMIN5"
"TXLNA"
"CAD"
"DNAJA1"
"OAS1"
"PEBP1"
"NUDC"
"PUS7"
"NRCAM"
"NLRP1"
"ADA2"
"SRPK1"
"HSP90AB1"
"CDC7"
"ABLIM1"
"PIK3IP1"
"SUN2"
"MCM5"
"CBX7"
"PRMT5"
"GNPNAT1"
"TMED8"
"AHSA1"
"PSMB5"
"APEX1"
"PCK2"
"SEC23B"
"CHMP4B"
"PPP1R16B"
"POLA1"
"KATNAL1"
"RBL2"
"CCP110"
"EHD4"
"CEP152"
"STK3"
"NDRG1"
"CHRAC1"
"GSR"
"ARHGEF18"
"FSD1"
"ARMC6"
"ETHE1"
"AIMP2"
"AGFG2"
"AHR"
"GIMAP2"
"BLVRA"
"POLD2"
"PLEKHA1"
"NPM3"
"GTPBP4"
"BCCIP"
"XPNPEP1"
"CCDC6"
"UBE2S"
"PPIF"
"KPNB1"
"CBX1"
"EZH1"
"LRRC59"
"MAP2K6"
"INPP4B"
"NSD2"
"HSPA8"
"PPFIBP1"
"CD69"
"SELPLG"
"GPN3"
"OAS2"
"RFC5"
"NT5DC3"
"MAN1A1"
"RIPOR2"
"STK38"
"MCM3"
"PHF1"
"HMGCS1"
"SMC4"
"CRBN"
"PCCB"
"PFKFB4"
"GBE1"
"EIF4G1"
"PPM1G"
"IFIH1"
"STAT1"
"EFHD1"
"PDCL3"
"DARS1"
"PNO1"
"MSH6"
"SPR"
"CACYBP"
"SRM"
"TTF2"
"SDHB"
"ECE1"
"GALE"
"TNFSF4"
"STMN1"
"NDUFB3"
"PHF19"
"CRIPT"
"IFIT3"
"MTHFD1L"
"ACAT2"
"MASTL"
"HSPH1"
"ETF1"
"UTP20"
"SORBS3"
"NAA50"
"CXCR4"
"LY9"
"CISD1"
"HVCN1"
"PRDX4"
"GIPC1"
"NLN"
"MORF4L2"
"NMI"
"XPO5"
"H1-3"
"H1-1"
"AHNAK"
"CLYBL"
"SLC25A19"
"PSD4"
"MGME1"
"UROD"
"XRCC3"
"PDCD2L"
"COX6B1"
"PRDX5"
"PRMT1"
"TRAP1"
"HSPA2"
"TIMM8A"
"CHTF18"
"ECHS1"
"YWHAH"
"HAT1"
"KNSTRN"
"DUT"
"PARP2"
"MIS18BP1"
"SEC14L1"
"DOHH"
"BST2"
"ACTN4"
"DNMT1"
"CAP1"
"RFTN1"
"PSME3"
"ACLY"
"CLUH"
"FIGNL1"
"NIP7"
"TOE1"
"NASP"
"POMP"
