"x"
"SLAMF7"
"TNFRSF9"
"MTHFD2"
"PHGDH"
"GRK3"
"DGKH"
"CD69"
"PHACTR2"
"DBN1"
"NR4A3"
"MTHFD1L"
"NR4A1"
"YWHAH"
"PSAT1"
"IRF4"
"CD27"
"SLC7A1"
"PTPRJ"
"SYTL3"
"NAB2"
"BCL2"
"CD151"
"SHMT2"
"PYCR1"
"LAYN"
"SELENOH"
"SLC25A5"
"ANLN"
"CD74"
"TOMM34"
"SH2D2A"
"IKZF2"
"TNIP3"
"TRAF1"
"BCAT1"
"MCM10"
"PKM"
"BCL3"
"OSBPL3"
"HMMR"
"TRAF4"
"NFKB2"
"EPB41L2"
"CLDND1"
"CD82"
"TPX2"
"BIRC5"
"CLSPN"
"HSP90AB1"
"SCD"
"PCK2"
"RBBP8"
"SMS"
"GDAP1"
"SQLE"
"SLC39A14"
"RELB"
"SLC1A5"
"ETHE1"
"NAMPT"
"HSPB1"
"EZH2"
"AHR"
"NPM3"
"TIMELESS"
"HBS1L"
"BYSL"
"DNPH1"
"KIF20A"
"STAT1"
"SLC1A4"
"DHCR24"
"KIF14"
"TNFAIP3"
"SORBS3"
"PDLIM2"
"ZC3H7A"
"ADGRE5"
"IKZF4"
"HJURP"
"RAB9A"
"TRIP10"
"STAT5A"
"MYO1B"
"SEC14L1"
"SNX9"
"TOP2A"
"BHLHE40"
"IL2RA"
"SLC43A3"
"ESPL1"
"STX11"
"FHOD1"
"NIBAN1"
"TXN"
"KIF23"
"KNL1"
"SCARB2"
"SUOX"
"DIAPH3"
"WARS1"
"COMMD4"
"FANCI"
"COL6A1"
"COL6A2"
"KIF2C"
"DTL"
"LYST"
"PTPN7"
"HNRNPLL"
"NFKBIE"
"IL2RG"
"DOK2"
"PLIN2"
"MKI67"
"TIAM1"
"BUB1B"
"CCNB2"
"PTGIR"
"VCAM1"
"PEA15"
"REL"
"EOMES"
"KIF15"
"STARD4"
"CGAS"
"PGM2L1"
"QSOX2"
"DDX21"
"CENPN"
"GNG8"
"GPX4"
"TK1"
"CKAP2L"
"LUZP1"
"BUB1"
"FASN"
"ALCAM"
"CDK1"
"PGAM1"
"ESCO2"
"RRM2"
"RAB37"
"KLC2"
"UBE2C"
"TYMS"
"ZC3H12D"
"RMI1"
"AURKB"
"KPNA2"
"KIF18B"
"TNFRSF4"
"TNFRSF18"
"EIF4EBP1"
"NHS"
"FAM111B"
"TMEM63A"
"SEMA4A"
"TUBB"
"PLXNB2"
"INPP5F"
"VDAC1"
"ZSWIM8"
"KIFC1"
"APOBEC3G"
"APOBEC3C"
"UHRF1"
"CCDC124"
"HMGB3"
"RCN1"
"RAD51"
"MRTO4"
"ALDH18A1"
"YBX3"
"TRIP13"
"TFRC"
"MCM2"
"GTSE1"
"FSCN1"
"WDR62"
"MCM6"
"SPAG5"
"UBE2T"
"NDC80"
"BZW1"
"ORC1"
"AURKA"
"TESC"
"ICAM1"
"KIF4A"
"PUS7"
"ORC6"
"CDC45"
"ACOT7"
"RANBP1"
"LGALS1"
"CENPM"
"GZMB"
"PRMT5"
"POLE2"
"PSMB5"
"NFKBIA"
"GINS1"
"KIF3B"
"COTL1"
"FAH"
"MCM4"
"CDK6"
"AIMP2"
"LRRC59"
"NSD2"
"NCAPG"
"CRTAM"
"HSPA8"
"CORO1C"
"RAD51AP1"
"CDCA3"
"MCM3"
"CD83"
"GMNN"
"TTK"
"SLC29A1"
"HMGCS1"
"LMNB1"
"SMC4"
"ECT2"
"IL18R1"
"SRM"
"CDC20"
"TNFSF4"
"STMN1"
"CENPF"
"HELLS"
"ETF1"
"NCAPH"
"ZWINT"
"CIT"
"CDK2"
"CKS2"
"DLGAP5"
"PKMYT1"
"PAICS"
"IRF5"
"GINS2"
"PDLIM4"
"PSMC3IP"
"MYH10"
"RFC3"
"CCNB1"
"CAMK1"
"LDHA"
"CDCA8"
"ITM2C"
"SMC2"
"DSCC1"
"DNAJB5"
"RDX"
"CENPO"
"KIF11"
"CEP55"
"DNA2"
"BARD1"
"CARM1"
"UCK2"
"NUF2"
"CHAC2"
"HSPD1"
"CCNA2"
"MTFR2"
"CDCA5"
"NCAPG2"
"GINS4"
"CHEK1"
"RILPL2"
"CENPU"
"SPC25"
"XRCC4"
"CENPH"
"SKA1"
"DBI"
"ATAD2"
"CDC25C"
"CHAF1B"
"HK2"
"LMNA"
"TONSL"
"RACGAP1"
"COA7"
"CIP2A"
